Data provider network,Data provider/Team
SNSDE,Wessex SDE
SNSDE,NHS England
Research Data Scotland (RDS),Public Health Scotland
Research Data Scotland (RDS),DataLoch
Research Data Scotland (RDS),Health Informatics Centre (HIC)
Research Data Scotland (RDS),West of Scotland Safe Haven
Research Data Scotland (RDS),Grampian Data Safe Haven (DaSH)
Secure eResearch Platform (SeRP),DPUK DATA Portal
Secure eResearch Platform (SeRP),BREATHE
Secure eResearch Platform (SeRP),UK Longitudinal Linkage Collaboration (UK LLC)
